Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Data Scientist, Machine Learning","$48K-$79K
(Glassdoor est.)","Job Description

At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.

Shipt is growing and we are searching for a Data Scientist, Machine Learning to join our team! At Shipt, we're using machine learning (ML) and analytics to drive our business forward. We're looking for help understanding our data, optimizing our processes, and making predictions to improve our product and customer experience.

The data science team builds data driven solutions using machine learning and modeling techniques. Our solutions include predictive models, clustering, segmentation, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.

What You'll Gain
You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice

Your Responsibilities
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Build predictive models and optimization routines to capture opportunities and solve problems. Applications include modeling demand in a given market, delivering search recommendations, and optimizing internal processes
Collaborate with other members of the Data Science and engineering teams on ways to approach problems, augment code, and share new techniques
Work with functional team leaders (in Product, Operations, Marketing, etc.) to explain your analysis, findings, and recommendations
Find opportunities for improvement across the business and assist in decision-making across teams
Stay abreast of developments in the field and contribute to its advancement
Requirements
At least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques
High degree of proficiency with one of R or Python
Proficiency with SQL
Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc.)
Experience with cloud computing services or platforms
Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack
Bachelor's degree in a quantitative field or related experience
Nice to Haves
Experience deploying predictive models in a cloud environment
Experience with batch processing framework
Familiarity with AWS, version control, and peer code review systems
Familiarity with on-demand and/or multi-sided marketplaces
Proficiency in both R and Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.4,"Shipt
3.4","Birmingham, AL",1001 to 5000 Employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
Data Scientist,"$78K-$133K
(Glassdoor est.)","Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.4,"Publishers Clearing House
3.4","Jericho, NY",501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD)
Data Engineer,"$72K-$135K
(Glassdoor est.)","About The Role:

ARC is searching for a Data Engineer to join our team! In this role, you will provide software development and product delivery support for data products and product teams. You will be responsible for product delivery data pipelines and the product lifecycle with direction from the Product Owner, the Solution Owner and technical guidance from Solution Architects.

If you are searching for a position where you can lend your technical expertise and experience professional growth, then we want to hear from you.

What You'll Get to Do:
Support data pipeline development by contributing to and or leveraging existing architectural patterns to deliver the optimal product related to data; including but not limited to establishing and communicating design patterns, automation, recovery, and operational run books. Mentor other engineers. Cross functional collaboration and provide overall technical and thought leadership to other teams as needed.
Partner with product owners and business SMEs to analyze the business need and provide a supportable and sustainable engineered solution. Ensure that the overall technical solution is aligned with the business needs and adheres to ARC’s Architectural Guiding Principals.
Help drive the creation and modifications of the product portfolio components, identify and engage all technical resources necessary to contribute to the solution. Ensure the solution is consistent with ARC architecture, design and development standards.
Develop data pipelines using industry best practices. Make adjustments to adopt new methodologies that provide the business with increased flexibility and agility.
Stay current with latest cloud technologies, patterns, and methodologies; share knowledge by clearly articulating results and ideas to key stakeholders. May be required to present ideas to larger audience for review and buy-in.

You'll Bring These Qualifications:
Bachelor’s Degree in Computer Science or related field; or equivalent experience
3+ years of experience with full cycle application development (Full SDLC experience: design, development, delivery, etc.),
3+ years with Agile, Scrum, DevOps, and Continuous Integration and Continuous Delivery
3+ years of experience implementing modern applications using:
Cloud Based Solutions/Technologies (AWS, Google, Azure). AWS tech stack including, but not limited to, Lambda, API Gateway, DynamoDB, S3, Cloudwatch, SNS/SQS, Step Functions, Fargate
Implementation of modern application and infrastructure design patterns, including micro-services and containers, disposable, reactive, stateless and distributed patterns
Open source technologies including, but not limited to, NodeJS, OpenJDK, React, Python and NoSQL, DynamoDB database(s)
Familiarity with DevOps tools including, but not limited to, Terraform/Cloud formation, CI/CD pipe line tool like Jenkins, GIT, Jira, Confluence, Jenkins, Sonar, Nexus, automated test and deployment tools
Data warehouse platforms (such as Snowflake, and Redshift). Expertise with SQL, database design/structures, ETL/ELT design patterns, and datamart structures (star, snowflake schemas, etc.)
Experience w/Data Lake concepts and design patters (AWS S3, parquet, python, lambda, java, NoSQL
BI Technologies (such as Tableau, Jasper, Cognos, Qlik, Looker, and others)
Understanding of Data Management and Data governance best practices

You Will Also Bring These Professional Skills:

Proven ability to lead a group through an architectural development process and collaborate with stakeholders at all levels
Experience leading small technical teams to mentor and guide multiple-disciplined (full stack) technical teams
Ability to discover and define functional requirements and to transform them into technical requirements and solutions
Ability to influence technology strategy and best practices across peer and leadership groups to support an agile development culture
Outstanding communication skills (verbal and written) and ability to communicate with internal and external customers and all levels of management, including communicating technical information to nontechnical audiences
A strong intellectual curiosity to continually challenge what exists and explore what should be changed to best meet evolving business and market
A strong passion to support peers to help meet timelines on larger projects

What We Can Offer You:
Joining ARC means joining a team that is motivated, diverse, creative, collaborative and solutions-oriented. We think big, embrace challenges, and explore new ideas to lead the way for the travel industry.
Our employees value the hands-on learning and professional development opportunities that allow them to expand their skills and grow their career in new, dynamic ways.
We offer a highly competitive, comprehensive benefits package so you can worry less and focus on what truly matters.
By joining ARC, you will partner with top minds in the industry as we use data and technology to innovate how the world travels.

EOE M/F/D/V Females and Minorities Encouraged to Apply",3.9,"Airlines Reporting Corporation (ARC)
3.9","Arlington, VA",201 to 500 Employees,1984,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD)
Sr. Data Scientist,"$71K-$118K
(Glassdoor est.)","Overview:

Medifast is seeking a full-time Senior Data Scientist to join our team.

The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.

The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Responsibilities:
Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources
Qualifications:
PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.

#LI-LW1",2.9,"Medifast, Inc.
2.9","Baltimore, MD",501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD)
Data Scientist,-1,"Job Description:

Our Advanced Data Analytics division in Reston, VA is seeking a talented Data Scientist for R&D projects with large amounts of complex data. As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine learning and data mining problems. Applicants interested in applying only off-the-shelf solutions need not apply. Project teams are small, typically 2-5 people including Data Scientists, Mathematicians, and Software Developers. Each person is involved in the project’s entire process, from concept through design and implementation to demonstration. Our management structure gives you the freedom to create innovative designs and products. The ideal candidate will have experience writing well-documented, maintainable, and extensible software and APIs.

Required Qualifications:
Bachelor’s or Master’s degree in Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field
Significant experience developing and knowledge of best practices for evaluating innovative, scalable anomaly detection, classification, recommendation, and related algorithms
Significant programming experience in Python, Java, Scala, or R
Experience with machine learning software libraries such as scikit-learn and Weka
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, Torch, and Deeplearning4j a plus
Experience with big data tools such as Apache Spark, Mahout, or Storm a plus
Experience with NLP (Natural Language Processing) a plus
Ability to communicate algorithm design, performance metrics, and data analyses in written and oral reports
US CITIZENSHIP REQUIRED; applicants selected will be subject to a security investigation and will need to meet eligibility requirements for access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD)
Data Analyst,"$35K-$70K
(Glassdoor est.)","Data Specialist

Job Summary

We are on the hunt for someone who loves a good challenge and works well under pressure to join our Data team at Marxent. This position is based in Miamisburg, OH.

Responsibilities:
Learn and understand Marxents database structure and content workflow
Must have a strong attention to detail to ensure that data is correct and functions as intended.
Ability to handle complex datasets and large amounts of information in common spreadsheet formats
Comfortable with complex logic and business rules from a data perspective
Handle content and technical issues in a timely manner
Be in constant communication with our business analysts and content management team to understand data scope and requirements
Communicate accurate status of all data work across multiple clients to inform daily planning
Minimum Qualifications:
Associate or Bachelors degree in Math, Engineering, or other related programs
Strong working knowledge of Excel and/or Google Sheets (Formulas)
Works well under pressure and deadlines
Strong written and verbal communication skills
Preferred Qualifications:
1-2 years of SQL experience
Passion for AR, VR, and 3D
Company Overview

Marxent is the leader in retail product visualization. With patented 3D planners, Augmented Reality and Virtual Reality technologies, Marxent's 3D Cloud is the #1 3D Commerce solution for kitchen, bath, furniture, and outdoor.
E-Commerce: Shoppers design from photos and buy the room
Sales Teams: Interior design and remote selling apps
Enterprise: One platform to host and manage all 3D apps
Were a down-to-earth company that makes out-of-this-world software and weve found that team members who are humble, have a sense of humor, and enjoy working and collaborating with others make the most successful additions to the Marxent family.

Benefits and Perks
Medical, Dental, Vision, and Life Insurance
401(k) retirement plan with company match up
Paid Time Off
Training and development
Promotion from within
Hard work is rewarded
Ownership of projects
Community involvement
Team-building activities
Marxent is an Equal Opportunity Employer

Marxent provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Marxent complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Marxent expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Marxent’s employees to perform their job duties may result in discipline up to and including discharge

Powered by JazzHR",4.9,"Marxent
4.9","Miamisburg, OH",51 to 200 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Science Engineer Full Stack - AI,-1,"Data Science Engineer Full Stack - AI

Overview

Our ideal candidate has AI and development experience combined with a passion for design, user experience, analytics, and customer success.

Responsibilities:
Design and assist in the development of high-quality, scalable, and maintainable data science frameworks
Work with other developers to design and implement data science features in support of established security and acceptance criteria in collaboration with product owners
Work with engineers, designers, and analysts to deliver innovative AI product feature enhancements
Provide on-going development support as needed
Assist in the development of feature and support documentation
Assist the QA team with feature and regression testing for feature acceptance
Interface with the core engineering, product, and DevOps teams as necessary to ensure success of Data Science products from development, design, and infrastructure perspectives
Develop and maintain adherence to product management processes throughout the organization.
Help create compelling user experiences
Create and deliver on project timelines
BryterCX is the leading company in providing a Journey Intelligence SaaS solution to organizations in order to improve their customers experiences by removing friction and optimizing every function and channel. We make the world better by making business experiences better. The BryterCX Journey Management Suite - IRIS - provides organizations with the ability to increase revenue by lowering attrition, decreasing costs by reducing analog channels, and improving the overall experience by matching the right experience to the customer.

Qualifications:
Proficiency designing and implementing multi-tenant services powering data science calculations with such technologies as modern Python in a distributed computing ecosystem
Awareness of tools used in manipulation of large, complex datasets for use in analytic use cases using tools such as Python, Spark, PostgreSQL, Go. In addition, some experience with pyspark, tensorflow, numpy and pandas would be helpful
Knowledge of statistical methods, models and process and how they are applied to data cleaning processing and prediction
Familiarity with UI languages and platforms across all application layers including JavaScript
Experience with continuous integration and deployment on Jenkins
Familiarity with data sets in myriad of formats and storage technologies/databasessuch as HDFS, Avro, CSV, JSON
Ability to work within an iterative software development lifecycle, under Agile development processes
Proficiency with common software engineering best practices, such as pairing, test-driven development (TDD), writing unit and integration tests, and participating in code reviews
Excellent written and verbal communication
Hands-on self starter
Powered by JazzHR",2.8,"BryterCX
2.8",United States,51 to 200 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Machine Learning Engineer,"$43K-$85K
(Glassdoor est.)","POSITION PURPOSE:
This position is responsible for aiding operational areas of the organization leveraging both internal and external data assets to achieve business insights, gain deeper understanding of member needs, and enhance tactical and strategic decision making.
NATURE AND SCOPE:
Collaborates with data science team to extract analytical, behavioral and predictive data sets and data pipelines from ever increasing data resources. Understands progressive statistical, programmatic, and analytical approaches to business hypotheses as it applies to available data. Aids business owners & data science team in the interpretation of source data and associated business data pipelines. Requires a solid understanding of both the technical and business aspects of Data Science and business analytics. Requires full software development life cycle experience within various analytical architectures, including piloting models, architecting underlying data design, and model operationalization. Models will be deployed using agile methodologies to ensure timely and relevant delivery.
Responsible for the design, development, and maintenance of analytical models that will be placed into operation. Will be required to explore internal and external data sources to identify useful structures within the data that were/are previously unknown to the business. Should have a strong understanding of relational and dimensional modeling to facilitate data wrangling, model operationalization, and exploration of data. Responsible for adhering to corporate data governance policy and controls to ensure the accuracy, timeliness and confidentiality of resources under management. Must be able to work with users from all levels of management in developing and implement operational and strategic analytics. The Machine Learning Engineer’s primary focus will be on operationalization of analytical models.

Be the go-to-person for data pipelines to support operational implementation of Data Science and analytical models.
Engineer each solution with serverless technology when possible, with optimized performance.
Execute analytics solution engineering strategy, requirements, and adapt processes as needed.
Perform DevOps and orchestration around supporting data marts and analytical processes.
Monitor and secure usage of data while tracking analytic product performance.
Advise and collaborate in internal partnerships to deliver accurate, available, and accessible API services.
Ensure all security, documentation, governance, and compliance standards are met.
Manage small reporting layer on top of analytical models to ensure accountability and insight into models’ performance and impact.
Identifies potential concerns based on projections of current trends.

Experience developing business analytical solutions in large or midsize companies.
Must be able to manage multiple tasks simultaneously and react to problems quickly.
Contribute to Credit Union culture by keeping a positive attitude and growing relationships
Understanding of the financial services industry desired.
Experience with dashboard design and delivery desired
Must be able to translate concepts and directions into practical solutions.
Must have development experience with various data management technology; NoSQL; relational database; message broker; multi-dimensional database; and design architecture.
Understand data collection, streaming, preparation, analysis, visualization, modeling, algorithm integration, evaluation, optimization within an implementation context.
Must have advanced SQL abilities, experience with both Oracle and Microsoft desired.
Must have advanced programming experience with Python
Must have experience with Linux.
Experience with Anaconda; RabitMQ; Jupyter Notebook; Tableau desired
EXPERIENCE:
3+ years of experience in designing, developing and implementing Data Science solutions.
EDUCATION:
Bachelor of Science degree in information technology, computer science, statistics, or related business degree with equivalent experience of 3 years.
Master of Science in information technology, computer science, statistics, or related degree.",3.9,"America First Credit Union
3.9","Ogden, UT",1001 to 5000 Employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Food Scientist,-1,"SUMMARY:
This position, under general supervision, is responsible for leading product development projects developing moderately complex formulas, processing procedures, and specifications for new products and product enhancements to meet project parameters and customer needs. The incumbent may also provide technical support to Marketing, Sales, Operations, and external customers.

DUTIES AND RESPONSIBILITIES:
Develops experimental formulas, processing procedures, and specifications for raw ingredients, subassemblies and finished products for simple new products, product improvements, and cost reductions that meet project parameters of established pricing, marketing goals, food regulations, and operational feasibility.
Organizes and manages moderately complex test runs to validate or modify experimental formulas and processing procedures to develop final specifications for the production of finished products and ensure reproducibility.
Works with team members to ensure successful start-ups of new products, product improvements, cost reductions, and ingredient, formula, specification, or process changes.
Provides technical solutions to production issues as it relates to ingredient, formulas, processing procedures, and specifications to ensure continuous production of existing products and maintain product quality and safety.
Documents work according to established procedures and guidelines, provides timely and effective oral and written communication and prepares various project reports to project team and project leader to ensure complete communication of project status, progress, issues, solutions, timeline, and accountability.
Supports innovation in the development of new ideas, new products or new product platforms through ideation sessions and bench top experimentation, along with the ability to effectively communicate the concept.
Works with Food Scientists to identify and implement projects involving new processes, processing technology, and equipment.

SKILLS AND QUALIFICATIONS:
Bachelor of Science degree in Food Science, Culinology, Foods and Nutrition Studies, Plant Science, Biological Sciences, Engineering or related fields.
3-5 years related experience.
Intermediate communication and interpersonal skills.
Intermediate PC skills including Microsoft Office Suite, particularly Excel and Word.
Intermediate knowledge of Algebra, Geometry, Physics, Chemistry, and Statistics.
Intermediate knowledge and understanding of food ingredients, food chemistry, food processing, and food functionality.
Ability to comprehend moderately complex technical articles, research papers, or presentation.
Must be able to apply technical knowledge learned.
Intermediate ability to define problems, collect data, establish facts, draw valid conclusions, and offer solutions.
Ability to taste and ingest any type of food product currently under development.
Preferred experience in Product Development.
SupHerb Farms is an Equal Opportunity Employer",3.6,"SupHerb Farms
3.6","Turlock, CA",51 to 200 Employees,-1,Subsidiary or Business Segment,Food Production,Agriculture & Forestry,$10 to $25 million (USD)
Data Scientist,"$80K-$111K
(Glassdoor est.)","Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
